First,Last,congressman,affiliation
Mark,Pryor,Mark Pryor (Senator from Arkansas),d
Mike,Quigley,Mike Quigley (Representative from Illinois),d
Trey,Radel,Trey Radel (Representative from Florida),r
Charles,Rangel,Charles Rangel (Representative from New York),d
Jack,Reed,Jack Reed (Senator from Rhode Island),d
Tom,Reed,Tom Reed (Representative from New York),r
Dave,Reichert,Dave Reichert (Representative from Washington),r
Harry,Reid,Harry Reid (Senator from Nevada),d
Jim,Renacci,Jim Renacci (Representative from Ohio),r
Reid,Ribble,Reid Ribble (Representative from Wisconsin),r
Tom,Rice,Tom Rice (Representative from South Carolina),r
Cedric,Richmond,Cedric Richmond (Representative from Louisiana),d
Scott,Rigell,Scott Rigell (Representative from Virginia),r
Pat,Roberts,Pat Roberts (Senator from Kansas),r
Martha,Roby,Martha Roby (Representative from Alabama),r
John,Rockefeller,John Rockefeller IV (Senator from West Virginia),d
Phil,Roe,Phil Roe (Representative from Tennessee),r
Harold,Rogers,Harold Rogers (Representative from Kentucky),r
Mike,Rogers,Mike Rogers (Representative from Michigan),r
Mike,Rogers,Mike Rogers (Representative from Alabama),r
Dana,Rohrabacher,Dana Rohrabacher (Representative from California),r
Todd,Rokita,Todd Rokita (Representative from Indiana),r
Tom,Rooney,Tom Rooney (Representative from Florida),r
Ileana,Ros-Lehtinen,Ileana Ros-Lehtinen (Representative from Florida),r
Peter,Roskam,Peter Roskam (Representative from Illinois),r
Dennis,Ross,Dennis Ross (Representative from Florida),r
Keith,Rothfus,Keith Rothfus (Representative from Pennsylvania),r
Lucille,Roybal-Allard,Lucille Roybal-Allard (Representative from California),d
Ed,Royce,Ed Royce (Representative from California),r
Marco,Rubio,Marco Rubio (Senator from Florida),r
Raul,Ruiz,Raul Ruiz (Representative from California),d
Jon,Runyan,Jon Runyan (Representative from New Jersey),r
Bobby,Rush,Bobby Rush (Representative from Illinois),d
Tim,Ryan,Tim Ryan (Representative from Ohio),d
Paul,Ryan,Paul Ryan (Representative from Wisconsin),r
Matt,Salmon,Matt Salmon (Representative from Arizona),r
Linda,Sanchez,Linda Sanchez (Representative from California),d
Loretta,Sanchez,Loretta Sanchez (Representative from California),d
Bernard,Sanders,Bernard Sanders (Senator from Vermont),i
Mark,Sanford,Mark Sanford (Representative from South Carolina),r
Steve,Scalise,Steve Scalise (Representative from Louisiana),r
Jan,Schakowsky,Jan Schakowsky (Representative from Illinois),r
Brian,Schatz,Brian Schatz (Senator from Hawaii),d
Adam,Schiff,Adam Schiff (Representative from California),d
Brad,Schneider,Brad Schneider (Representative from Illinois),d
Kurt,Schrader,Kurt Schrader (Representative from Oregon),d
Charles,Schumer,Charles Schumer (Senator from New York),d
David,Schweikert,David Schweikert (Representative from Arizona),r
Robert,Scott,Robert Scott (Representative from Virginia),r
Tim,Scott,Tim Scott (Senator from South Carolina),r
David,Scott,David Scott (Representative from Georgia),d
Austin,Scott,Austin Scott (Representative from Georgia),r
James,Sensenbrenner,James Sensenbrenner (Representative from Wisconsin),r
Jose ,Serrano,Jose Serrano (Representative from New York),d
Pete,Sessions,Pete Sessions (Representative from Texas),r
Jeff,Sessions,Jeff Sessions (Senator from Alabama),r
Terri,Sewell,Terri Sewell (Representative from Alabama),d
Jeanne,Shaheen,Jeanne Shaheen (Senator from New Hampshire),d
Carol,Shea-Porter,Carol Shea-Porter (Representative from New Hampshire),d
Richard,Shelby,Richard Shelby (Senator from Alabama),r
Brad,Sherman,Brad Sherman (Representative from California),d
John,Shimkus,John Shimkus (Representative from Illinois),r
Bill,Shuster,Bill Shuster (Representative from Pennsylvania),r
Mike,Simpson,Mike Simpson (Representative from Idaho),r
